년도,출생아수(명),사망자수(명),혼인건수(건)
1970,1006645,258589,295137
1971,1024773,237528,239457
1972,952780,210071,244780
1973,965521,267460,259112
1974,922823,248807,259604
1975,874030,270657,283226
1976,796331,266857,285910
1977,825339,249254,303156
1978,750728,252298,343013
1979,862669,239986,353824
1980,862835,277284,403031
1981,867409,237481,406795
1982,848312,245767,387468
1983,769155,254563,412984
1984,674793,236445,385188
1985,655489,240418,384686
1986,636019,239256,390229
1987,623831,243504,390276
1988,633092,235779,410129
1989,639431,236818,410708
1990,649738,241616,399312
1991,709275,242270,416872
1992,730678,236162,419774
1993,715826,234257,402593
1994,721185,242439,393121
1995,715020,242838,398484
1996,691226,241149,434911
1997,675394,244693,388960
1998,641594,245825,373500
1999,620668,247734,360407
2000,640089,248740,332090
2001,559934,243813,318407
2002,496911,247524,304877
2003,495036,246463,302503
2004,476958,246220,308598
2005,438707,245874,314304
2006,451759,244162,330634
2007,496822,246482,343559
2008,465892,246113,327715
2009,444849,246942,309759
2010,470171,255405,326104
2011,471265,257396,329087
2012,484550,267221,327073
2013,436455,266257,322807
2014,435435,267692,305507
2015,438420,275895,302828
2016,406243,280827,281635
2017,357771,285534,264455
2018,326822,298820,257622
2019,302676,295110,239159
2020,272337,304948,213502
